# verge-core - the daily hot-tier port set (v1 spec 3.5, ADR-0009).
# A union: frequency-set (cup) sensitive-list. Fields: port<TAB>transport<TAB>half.
# The frequency half is operator-editable (via the UI, TCP only); the sensitive
# half is authored by the project and ships in the release - moving one moves a
# version and Breaks the estate, so it is never operator-editable (3.5).
# Frequency half: docs/research/safe-active-probing.md 2.1 top-100 less 2.3's
# deletions, plus 2.3's supplement, less 161/tcp and 623/tcp (ADR-0009): 123 TCP.
# Sensitive half: docs/research/sensitive-ports.md 3 as amended: 38 pairs
# (ADR-0067). golden_test.go holds each half to its section; edit the note first.
# Composed: 136 pairs (131 TCP, 5 UDP). Only TCP pairs are probed by default;
# UDP is off (connect-outcome cannot decide an honest UDP value - ADR-0083).
7	tcp	frequency
9	tcp	frequency
13	tcp	frequency
21	tcp	frequency
22	tcp	frequency
23	tcp	frequency
25	tcp	frequency
26	tcp	frequency
37	tcp	frequency
53	tcp	frequency
79	tcp	frequency
80	tcp	frequency
81	tcp	frequency
88	tcp	frequency
106	tcp	frequency
110	tcp	frequency
111	tcp	frequency
113	tcp	frequency
119	tcp	frequency
135	tcp	frequency
139	tcp	frequency
143	tcp	frequency
144	tcp	frequency
179	tcp	frequency
199	tcp	frequency
389	tcp	frequency
427	tcp	frequency
443	tcp	frequency
444	tcp	frequency
445	tcp	frequency
465	tcp	frequency
513	tcp	frequency
514	tcp	frequency
515	tcp	frequency
543	tcp	frequency
544	tcp	frequency
548	tcp	frequency
554	tcp	frequency
587	tcp	frequency
631	tcp	frequency
646	tcp	frequency
873	tcp	frequency
990	tcp	frequency
993	tcp	frequency
995	tcp	frequency
1110	tcp	frequency
1433	tcp	frequency
1521	tcp	frequency
1720	tcp	frequency
1723	tcp	frequency
1883	tcp	frequency
1900	tcp	frequency
2000	tcp	frequency
2001	tcp	frequency
2049	tcp	frequency
2121	tcp	frequency
2181	tcp	frequency
2375	tcp	frequency
2376	tcp	frequency
2379	tcp	frequency
2380	tcp	frequency
3000	tcp	frequency
3001	tcp	frequency
3128	tcp	frequency
3306	tcp	frequency
3389	tcp	frequency
4000	tcp	frequency
4899	tcp	frequency
5000	tcp	frequency
5060	tcp	frequency
5357	tcp	frequency
5432	tcp	frequency
5601	tcp	frequency
5631	tcp	frequency
5666	tcp	frequency
5672	tcp	frequency
5800	tcp	frequency
5900	tcp	frequency
5901	tcp	frequency
5902	tcp	frequency
5903	tcp	frequency
5904	tcp	frequency
5905	tcp	frequency
5984	tcp	frequency
5985	tcp	frequency
5986	tcp	frequency
6000	tcp	frequency
6001	tcp	frequency
6379	tcp	frequency
6443	tcp	frequency
7001	tcp	frequency
7070	tcp	frequency
8000	tcp	frequency
8006	tcp	frequency
8008	tcp	frequency
8009	tcp	frequency
8069	tcp	frequency
8080	tcp	frequency
8081	tcp	frequency
8086	tcp	frequency
8090	tcp	frequency
8161	tcp	frequency
8443	tcp	frequency
8500	tcp	frequency
8834	tcp	frequency
8888	tcp	frequency
9000	tcp	frequency
9042	tcp	frequency
9090	tcp	frequency
9100	tcp	frequency
9200	tcp	frequency
9300	tcp	frequency
9443	tcp	frequency
9999	tcp	frequency
10000	tcp	frequency
10250	tcp	frequency
10255	tcp	frequency
11211	tcp	frequency
15672	tcp	frequency
27017	tcp	frequency
27018	tcp	frequency
32768	tcp	frequency
61616	tcp	frequency
21	tcp	sensitive
23	tcp	sensitive
69	udp	sensitive
137	udp	sensitive
138	udp	sensitive
139	tcp	sensitive
445	tcp	sensitive
512	tcp	sensitive
513	tcp	sensitive
514	tcp	sensitive
623	udp	sensitive
873	tcp	sensitive
2049	tcp	sensitive
2181	tcp	sensitive
2375	tcp	sensitive
2376	tcp	sensitive
2379	tcp	sensitive
2380	tcp	sensitive
3306	tcp	sensitive
4369	tcp	sensitive
5432	tcp	sensitive
5900	tcp	sensitive
5984	tcp	sensitive
6000	tcp	sensitive
6379	tcp	sensitive
9042	tcp	sensitive
10248	tcp	sensitive
10249	tcp	sensitive
10250	tcp	sensitive
10255	tcp	sensitive
10257	tcp	sensitive
10259	tcp	sensitive
11211	tcp	sensitive
11211	udp	sensitive
25672	tcp	sensitive
27017	tcp	sensitive
27018	tcp	sensitive
27019	tcp	sensitive
